Voice Name: af-ZA-AdriNeural, Gender: SynthesisVoiceGender.Female, Locale: af-ZA
Voice Name: af-ZA-WillemNeural, Gender: SynthesisVoiceGender.Male, Locale: af-ZA
Voice Name: am-ET-MekdesNeural, Gender: SynthesisVoiceGender.Female, Locale: am-ET
Voice Name: am-ET-AmehaNeural, Gender: SynthesisVoiceGender.Male, Locale: am-ET
Voice Name: ar-AE-FatimaNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-AE
Voice Name: ar-AE-HamdanNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-AE
Voice Name: ar-BH-LailaNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-BH
Voice Name: ar-BH-AliNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-BH
Voice Name: ar-DZ-AminaNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-DZ
Voice Name: ar-DZ-IsmaelNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-DZ
Voice Name: ar-EG-SalmaNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-EG
Voice Name: ar-EG-ShakirNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-EG
Voice Name: ar-IQ-RanaNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-IQ
Voice Name: ar-IQ-BasselNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-IQ
Voice Name: ar-JO-SanaNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-JO
Voice Name: ar-JO-TaimNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-JO
Voice Name: ar-KW-NouraNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-KW
Voice Name: ar-KW-FahedNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-KW
Voice Name: ar-LB-LaylaNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-LB
Voice Name: ar-LB-RamiNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-LB
Voice Name: ar-LY-ImanNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-LY
Voice Name: ar-LY-OmarNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-LY
Voice Name: ar-MA-MounaNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-MA
Voice Name: ar-MA-JamalNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-MA
Voice Name: ar-OM-AyshaNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-OM
Voice Name: ar-OM-AbdullahNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-OM
Voice Name: ar-QA-AmalNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-QA
Voice Name: ar-QA-MoazNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-QA
Voice Name: ar-SA-ZariyahNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-SA
Voice Name: ar-SA-HamedNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-SA
Voice Name: ar-SY-AmanyNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-SY
Voice Name: ar-SY-LaithNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-SY
Voice Name: ar-TN-ReemNeural, Gender: SynthesisVoiceGender.Female, Locale: ar-TN
Voice Name: ar-TN-HediNeural, Gender: SynthesisVoiceGender.Male, Locale: ar-TN
